SampleID,unclassified,Firmicutes,Actinobacteria,Bacteroidetes,Proteobacteria,Fusobacteria,Verrucomicrobia,Other
MB-6116,67.24,13.98,1.58,9.04,3.64,0.15,0.66,2.57
MB-1841,45.25,9.41,1.49,38,3.07,0.04,0.02,1.89
MB-3773,63.72,17.22,1.64,9.09,4.81,0.1,0.59,1.71
MB-9477,67.95,7.75,1.22,13.9,3.96,0.06,1.98,2.4
MB-8893,35.65,8.03,0.64,50.92,3.64,0.02,0.02,0.56
MB-9033,67.92,15.36,1.96,7.31,4.47,0.07,0.05,1.65
MB-7083,41.3,8.46,0.54,45.24,1.46,0.03,0.01,2.55
MB-6691,56.49,19.58,1.7,12.48,4.65,0.08,0.19,3.8
MB-6042,33.61,5.94,0.67,57.26,1.49,0.03,0.02,0.56
MB-5592,26.74,10.02,0.62,58.75,1.97,0.03,0.8,0.46
MB-4180,43.13,22.51,1.15,28.99,2.3,0.05,0.09,1.02
MB-4152,48.58,5.37,0.87,40.39,2.95,0.02,0.03,0.94
MB-3344,65.64,10.89,2.69,11.74,4.76,0.09,0.82,2.05
MB-3643,58.41,14.17,0.91,20.42,3.09,0.12,0.26,1.74
MB-3731,22.18,4.77,0.27,69.3,2.06,0.01,0.01,0.27
MB-3143,29.4,11.66,0.6,55.3,1.95,0.03,0.08,0.49
MB-1554,51.74,13.52,0.71,28.43,2.87,0.12,0.05,1.75
MB-7064,50.16,10.61,1.09,32.69,2.61,0.09,0.59,1.44
MB-5354,51.18,18.18,1.58,24.15,2.66,0.06,0.07,1.17
MB-5845,47.89,7.36,1.35,36.75,2.95,0.09,0.35,2.35
MB-5774,52.92,6.84,1.14,32.44,4.44,0.06,0.3,1.09
MB-3037,47.07,9.86,0.47,37.24,3.56,0.04,0.02,0.81
MB-1191,23.92,3.33,0.41,69.74,1.81,0.02,0.08,0.4
MB-2251,54.43,12.6,1.25,26.3,2.89,0.07,0.28,1.37
MB-3091,47.51,8.7,1.58,37.22,2.81,0.07,0.08,1.35
MB-4867,42.77,14.15,0.78,38.47,1.88,0.06,0.15,1.04
MB-4150,36.23,6,0.61,50.58,3.99,0.04,0.02,1.99
MB-9631,60.12,12.02,1.37,20.15,3.24,0.04,1.14,0.97
MB-1817,52.22,6.27,1.38,35.71,2.74,0.02,0.04,0.75
MB-3909,43.63,9.94,0.99,38.33,5.67,0.04,0.03,0.75
MB-6530,58.83,7.66,1.97,24.92,3.91,0.05,0.02,1.95
MB-9016,63.26,10.51,0.9,19.52,3.46,0.08,0.05,1.37
MB-1107,43.16,7.63,0.68,43.44,3.16,0.07,0.03,1.15
MB-5796,59.35,8.67,1.28,24.55,3.8,0.06,0.04,1.33
MB-4285,30.65,5.62,0.49,59.86,2.59,0.02,0.02,0.4
MB-9156,41.35,6.75,0.61,46.62,2.37,0.03,0.02,1.56
MB-3595,58.08,8.88,1.24,26.75,3.11,0.03,0.05,0.97
MB-5119,50.36,4.85,0.81,38.45,4.07,0.03,0.11,0.69
MB-9037,59.31,11.06,1.38,22.28,3.13,0.1,0.04,1.85
MB-6807,53.68,7.51,0.88,32.82,3.06,0.04,0.03,1.04
MB-5171,25.3,6.35,0.47,65.74,1.11,0.02,0.01,0.47
MB-9254,40.21,8.53,0.85,46.1,2.27,0.06,0.02,1.33
MB-4027,44.35,15.28,1.84,32.1,3.86,0.07,0.04,1.44
MB-4893,45.99,11,1.38,36.62,2.49,0.04,0.06,1.73
MB-8363,63.06,11.03,1.39,15.08,3.27,0.07,3.66,1.66
MB-2256,54.09,10.41,1.05,28.87,3.44,0.06,0.08,1.19
MB-6097,38.42,4.06,0.28,54.89,1.29,0.03,0.02,0.7
MB-4954,44.9,5.76,0.62,44.72,2.5,0.03,0.09,0.74
MB-1933,48.76,11.4,1.56,31.49,2.64,0.1,1.2,1.85
MB-6277,50.74,16.24,1.57,22.94,3.53,0.1,2.27,1.68
MB-7163,58.25,10.22,1.23,24.16,3.5,0.06,0.11,1.58
MB-3105,42.1,7.4,0.72,45.21,2.87,0.03,0.02,1.08
MB-9541,59.88,14.06,2.03,15.63,5.91,0.06,0.05,1.32
MB-7754,51.07,10.31,1.11,29.65,5.38,0.05,0.66,1.08
MB-4913,33.68,4.38,0.68,58.46,1.81,0.03,0.02,0.56
MB-1524,37.78,6.22,1.08,51.84,1.79,0.09,0.01,0.74
MB-9810,36.45,10.83,1.58,44.6,2.99,0.01,1.55,1.09
